Tempo,Rco,Rno2,Rnh3,T,H,Fase
980206,2.781,2.229,1.774,25.32,42.37,Baseline
982237,2.441,2.605,1.739,25.31,42.37,Baseline
984268,2.145,2.276,1.696,25.30,42.35,Baseline
986299,2.838,2.170,1.822,25.30,42.37,Baseline
988330,2.133,2.438,1.850,25.30,42.38,Baseline
990361,2.506,2.384,1.848,25.31,42.35,Baseline
992392,2.194,2.002,1.776,25.31,42.32,Baseline
994423,2.343,2.217,1.673,25.31,42.31,Baseline
996454,2.802,3.204,2.152,25.31,42.29,Baseline
998485,2.229,2.063,1.793,25.32,42.26,Baseline
1000516,2.878,3.338,2.061,25.32,42.27,Baseline
1002547,2.184,2.121,1.788,25.32,42.31,Baseline
1004578,2.506,2.114,1.748,25.32,42.32,Baseline
1006609,2.189,2.271,1.874,25.32,42.31,Baseline
1008640,2.991,3.209,2.184,25.32,42.31,Baseline
1010671,2.107,2.561,1.694,25.31,42.34,Baseline
1012702,2.189,2.335,1.725,25.31,42.36,Baseline
1014733,3.191,3.091,2.020,25.30,42.34,Baseline
1016764,2.222,2.384,1.896,25.29,42.35,Baseline
1018795,2.396,2.289,1.625,25.29,42.38,Baseline
1020826,2.300,1.900,1.500,25.29,42.39,Baseline
1022857,2.656,2.335,1.955,25.30,42.36,Baseline
1024888,2.518,1.972,1.890,25.30,42.37,Baseline
1026919,2.029,2.049,1.532,25.30,42.38,Baseline
1028950,2.294,2.438,1.689,25.30,42.38,Baseline
1030981,2.476,2.300,1.801,25.31,42.37,Baseline
1033012,2.412,2.679,1.816,25.31,42.38,Baseline
1035043,1.948,2.703,1.633,25.31,42.37,Baseline
1037074,2.079,2.583,1.906,25.31,42.38,Baseline
1039105,2.284,2.045,1.818,25.31,42.37,Baseline
1041136,2.343,2.202,1.791,25.31,42.36,Baseline
1043167,2.421,2.726,1.904,25.32,42.32,Baseline
1045198,2.536,2.368,1.832,25.32,42.31,Baseline
1047229,2.022,2.184,1.850,25.32,42.31,Baseline
1049260,2.716,3.107,1.965,25.32,42.28,Baseline
1051291,2.660,2.444,1.824,25.33,42.28,Baseline
1053322,2.011,2.462,1.886,25.32,42.26,Baseline
1055353,1.927,2.121,1.532,25.32,42.23,Baseline
1057384,2.207,1.985,1.734,25.32,42.22,Baseline
1059415,2.340,2.140,1.691,25.33,42.23,Baseline
1061446,2.348,2.133,1.708,25.33,42.23,Baseline
1063477,2.004,1.874,1.569,25.33,42.26,Baseline
1065508,2.189,2.354,1.826,25.33,42.22,Baseline
1067539,2.212,2.637,1.765,25.33,42.29,Baseline
1069570,2.067,2.031,1.595,25.32,42.36,Baseline
1071601,2.133,2.116,1.978,25.31,42.35,Baseline
1073632,2.202,2.430,1.622,25.31,42.37,Baseline
1075663,2.100,2.212,1.890,25.32,42.39,Baseline
1077694,2.258,2.222,1.732,25.32,42.37,Baseline
1079725,2.107,2.421,1.946,25.32,42.37,Baseline
1081756,2.276,2.464,1.627,25.33,42.37,Baseline
1083787,2.491,2.558,1.884,25.33,42.41,Baseline
1085818,2.138,2.384,1.615,25.33,42.52,Baseline
1087849,2.656,3.235,2.009,25.33,42.58,Baseline
1089880,2.077,2.182,1.886,25.33,42.63,Baseline
1091911,1.959,2.119,1.600,25.33,42.58,Baseline
1093942,2.676,3.446,2.116,25.33,42.48,Baseline
1095973,2.240,2.410,1.961,25.33,42.42,Baseline
1098004,2.056,1.993,1.782,25.33,42.41,Baseline
1100035,2.162,2.660,1.870,25.34,42.43,Baseline
1102066,1.832,2.224,1.566,25.33,42.38,Baseline
1104097,2.324,2.119,1.805,25.33,42.32,Baseline
1106128,2.479,2.384,2.011,25.33,42.33,Baseline
1108159,2.162,2.192,1.637,25.33,42.36,Baseline
1110190,2.390,2.294,1.878,25.32,42.42,Baseline
1112221,2.051,1.987,1.801,25.32,42.37,Baseline
1114252,2.182,2.126,1.734,25.32,42.37,Baseline
1116283,2.343,2.310,1.780,25.32,42.38,Baseline
1118314,2.136,2.202,1.834,25.32,42.37,Baseline
1120345,2.430,2.407,2.112,25.32,42.36,Baseline
1122376,2.105,1.942,1.564,25.32,42.37,Baseline
1124407,2.157,2.148,1.838,25.32,42.32,Baseline
1126438,2.047,2.260,1.567,25.32,42.30,Baseline
1128469,2.348,2.242,2.020,25.31,42.25,Baseline
1130500,2.160,2.624,1.888,25.31,42.26,Baseline
1132531,2.074,1.904,1.423,25.31,42.26,Baseline
1134562,2.194,2.182,1.935,25.31,42.27,Baseline
1136593,2.595,2.473,1.834,25.31,42.26,Baseline
1138624,3.288,2.276,1.878,25.30,42.29,Baseline
1140655,2.179,2.673,1.726,25.30,42.29,Baseline
1142686,2.470,2.500,2.079,25.30,42.27,Baseline
1144717,3.063,2.401,2.000,25.31,42.28,Baseline
1146748,2.242,2.373,1.955,25.30,42.25,Baseline
1148779,2.150,2.653,1.799,25.30,42.23,Baseline
1150810,3.183,2.676,2.063,25.30,42.24,Baseline
1152841,2.310,2.346,1.780,25.30,42.25,Baseline
1154872,2.107,2.376,1.832,25.30,42.28,Baseline
1156903,2.222,2.033,1.671,25.30,42.28,Baseline
1158934,2.365,2.348,1.910,25.30,42.28,Baseline
1160965,2.435,2.332,1.874,25.29,42.31,Baseline
1162996,2.387,2.214,1.703,25.30,42.41,Baseline
1165027,2.287,2.192,1.725,25.29,42.39,Baseline
1167058,2.467,2.407,1.813,25.30,42.38,Baseline
1169089,2.316,2.131,1.963,25.30,42.34,Baseline
1171120,1.983,2.051,1.593,25.30,42.34,Baseline
1173151,2.202,2.663,1.882,25.30,42.33,Baseline
1175182,2.308,2.438,1.703,25.30,42.30,Baseline
1177213,2.570,2.686,1.896,25.31,42.28,Baseline
1179244,2.284,2.302,1.872,25.31,42.28,Baseline
1181275,2.634,2.095,1.708,25.31,42.31,Baseline
1183306,2.187,2.224,1.694,25.31,42.32,Baseline
1185337,2.404,2.199,1.726,25.31,42.32,Baseline
1187368,2.368,2.222,1.741,25.31,42.34,Baseline
1189399,2.390,2.820,1.703,25.30,42.34,Baseline
1191430,2.346,2.634,1.896,25.30,42.35,Baseline
1193461,2.354,2.476,1.818,25.31,42.30,Baseline
1195492,2.482,2.611,1.701,25.31,42.26,Baseline
1197523,2.653,3.475,2.112,25.30,42.24,Baseline
1199554,2.287,2.279,1.888,25.30,42.24,Baseline
1201585,2.155,1.836,1.569,25.31,42.26,Baseline
1203616,2.589,2.627,1.970,25.31,42.25,Baseline
1205647,2.266,2.240,1.797,25.31,42.24,Baseline
1207678,2.393,2.289,1.952,25.31,42.25,Baseline
1209709,2.024,2.242,1.644,25.30,42.20,Baseline
1211740,2.806,2.453,2.051,25.30,42.17,Baseline
1213771,2.105,2.013,2.002,25.30,42.17,Baseline
1215802,2.105,2.611,1.725,25.30,42.16,Baseline
1217833,2.723,2.456,1.659,25.30,42.17,Baseline
1219864,2.441,2.713,1.980,25.30,42.21,Baseline
1221895,1.961,2.148,1.844,25.30,42.27,Baseline
1223926,2.733,2.258,1.862,25.31,42.27,Baseline
1225957,2.124,2.321,1.597,25.32,42.25,Baseline
1227988,2.157,2.740,2.020,25.31,42.28,Baseline
1230019,2.219,2.354,1.741,25.31,42.29,Baseline
1232050,2.308,2.143,1.605,25.30,42.31,Baseline
1234081,2.126,2.297,1.844,25.30,42.29,Baseline
1236112,2.102,2.462,1.765,25.29,42.24,Baseline
1238143,3.252,2.788,1.965,25.29,42.23,Baseline
1240174,2.255,2.042,1.816,25.30,42.24,Baseline
1242205,2.192,2.473,1.834,25.30,42.24,Baseline
1244236,2.116,2.284,1.728,25.30,42.22,Baseline
1246267,2.453,2.266,1.612,25.30,42.22,Baseline
1248298,3.187,2.706,2.081,25.30,42.22,Baseline
1250329,2.919,3.200,2.070,25.30,42.24,Baseline
1252360,2.627,2.194,1.671,25.30,42.32,Baseline
1254391,1.771,2.022,1.597,25.29,42.36,Baseline
1256422,2.143,2.327,1.671,25.29,42.38,Baseline
1258453,2.564,2.491,1.745,25.28,42.39,Baseline
1260484,2.354,2.340,1.734,25.28,42.40,Baseline
1262515,2.602,3.380,2.124,25.28,42.31,Baseline
1264546,2.004,2.074,1.569,25.28,42.27,Baseline
1266577,1.978,1.908,1.556,25.29,42.27,Baseline
1268608,2.343,2.204,1.556,25.28,42.25,Baseline
1270639,2.022,1.993,1.618,25.28,42.24,Baseline
1272670,1.985,1.882,1.664,25.28,42.30,Baseline
1274701,2.412,1.927,1.622,25.28,42.37,Baseline
1276732,2.558,2.340,1.820,25.28,42.31,Baseline
1278763,2.109,2.131,1.820,25.28,42.30,Baseline
1280794,2.318,2.182,1.892,25.28,42.30,Baseline
1282825,2.491,2.473,1.774,25.28,42.31,Baseline
1284856,2.415,2.539,1.728,25.28,42.30,Baseline
1286887,2.561,3.120,2.081,25.28,42.36,Baseline
1288918,2.427,2.165,1.822,25.28,42.34,Baseline
1290949,2.934,3.067,2.084,25.28,42.33,Baseline
1292980,2.441,2.289,1.758,25.28,42.31,Baseline
1295011,2.004,2.611,1.868,25.28,42.31,Baseline
